estrofes,emocoes
"Vou orar ao Pai, vou clamar por ti  Pedir que o Santo Espírito de Deus  Esteja sobre a nossa amizade  Enquanto houver o sol, de tempo em tempo ",felicidade
Vou viajar pelo ar com você  Vou te mostrar lindo lugar  Nao havera mais a dor e o sofrer  Vem que comigo e seu lugar,felicidade
(Vamo que vamo que o som não pode parar)  Festeje a noite  Celebrando a cada momento  A noite  A noite  É onde tudo pode acontecer.,felicidade
"No rap moleque segue a trilha desde cedo  Cantor vira vapor e cliente e ele mesmo  Pra tar no visual, relogio loco é isso mesmo  Rolé em uma pajero se mosca nois senta o dedo  ",felicidade
"És como sorvete, eu quero sorver-te  Eu quero derreter-te e ter-te por perto  Mas tu não sabes disso, que eu nunca te disse  Mas também não é preciso: olha o meu sorriso  ",felicidade
"É chocolate e menta, batimento aumenta  Tu deitas pimenta, e a receita bate certo  Mas sem compromisso que eu não gosto disso  É que o abstrato nisto, vai ser muito mais concreto",felicidade
"Meu nome é Ana e sou viciada em música  É ela quem me chama quando eu já não estou lúcida  Quando o mundo desaba e o coração se quebra é ela  Que o cola e sara, ela é que me devolve à terra",felicidade
Pos irmãos curte no salão  E pra dançar sem dinheiro na mão  Os vida loka pra colar com a função  Quem ta no bang é pra cumprir a missão,felicidade
Entre lobos e hienas passo á vonts  No volante do fusquinha essa é a visão  Coleta das verdinhas dividindo o pão  ,felicidade
"Sei que sou o diabo da sua cartilha,  Inimigo do estado ceifador da classe rica.  Primeiro da classe orgulho do professor,  O cão pronto pra matar que o brasil adestrou.",felicidade
"Não quero o hall da fama, quero o grupo dos eternos  Ser lembrado igual Tupac, isso que é sucesso  O cão pode morder que a caravana não para  Sou a gota d'água estremecendo o deserto do Saara",felicidade
"Tira o zóio do Impala, engasga seu freestyle  Pula de manga larga, não no nosso Lowrider  Toca preta, camisão xadrez, calça larga  É medalha de honra ao mérito da quebrada ",felicidade
"Por ela o menino entra pra lista da corte americana, vende pro elvis jhon eine na casa branca  Entre malária e febre amarela quero ser Pablo Escobar, que com pó deu uma cidade pro seu povo morar ",felicidade
"Baiana com água de cheiro faz um pedido pra mim,  Quando lavar a escadaria do Senhor do Bonfim.  Que nos milhões de kilometros de extensão tropical,  24 horas não haja um estampido de Fal.  ",felicidade
"Se entrega, se a poesia é boa a ferrugem não pega  Pois é, dizem que um homem precisa de um vício  Então vem ser o meu cigarro, meu café  Aquele beijo foi um pause, o que que eu faço?  ",felicidade
"To de mudança, eu vou morar no seu abraço  Cabuloso, Pixinguinha, carinhoso, tá delícia, tá gostoso  Eu vim xavozo pruns amasso ",felicidade
"Olha eu louco de novo, dia de semana, seus lábios me chama  E por falar em chama, tem cinza em cima da cama  O calor que você deixou e queimou esse corpo  Rio de Janeiro tá sem graça sem seu jeito louco  ",felicidade
"Palma da mão, palma, negro dança  Soube lavar alma, as mãos que se humilham aos céus  Serão as que ergueram troféu  Demoro já, vou cambá,  Porque o samba, em boas mãos tá ",felicidade
"Em dia de parada  E a grandeza épica de um povo em formação  Nos atrai, nos deslumbra e estimula  Não importa nada:  ",felicidade
Possam estar por um momento voltados para o largo  Onde os escravos eram castigados  E hoje um batuque um batuque  Com a pureza de meninos uniformizados de escola secundária  ,felicidade
E se for possível em algum lugar vou-te ver dançar  se não vo te ligar e te encontrar  amei seus detalhes eu gosto assim  uma linda rosa que me convenceu no fim  ,felicidade
viver esse momento e nada mais  é difícil não vou te difamar jamais  primeiro que quis você gosto quer BIS  eu sei do que fiz eu te fiz feliz  ,felicidade
Mademoiselle és capaz de me sorrir  vamos curtir um pouco mais  fico gravado na mente  igual não acho a saudade é presente  ,felicidade
frente é puxar um bonde amigo  depois da dança comemora  que o vilão sumiu (hé hé)  ir ao romance esse louco que acende até um lance  então Dance,felicidade
"Ela surge como um vendaval  Força que me faz existir  És enredo do meu Carnaval  Ela é Jamelão, Zé Keti",felicidade
"Olha os discos na minha prateleira, Thelonious Monk  De contra-cultura maneira, que nem os punk  Mostrando a visão verdadeira, que não te tranque  Cê é louco cachoeira, Pereira Funk  ",felicidade
"Te tiro de toda a sujeira... virtual  Te faço uma rima ligeira... marginal  Você se derrete inteira... natural  Tá bom, já entendeu que o meu mundo é ideal",felicidade
"Canta pra saldar, negô, seu rei chegou  Sim, Alaafin, vim de Oyó, Xangô  Daqui de Mali pra Cuando, de Orubá ao bando  Não temos papa, nem na língua ou em escrita sagrada  ",felicidade
"Fica mais um pouco amor, essa noite sonhei com você foi tão bom.  (eu até queria mais) (tão bom)",felicidade
"Pois diga que irá  Irajá, Irajá  Pra onde eu só beijar você,  Você beijar mim só  ",felicidade
São os loucos de Lisboa  Que nos fazem duvidar  Se a Terra gira ao contrário  E os rios nascem no mar,felicidade
"se a palavra é poder, impactante é o vocal  tranqüilizante escrever, emocionante o sarau  o loco vai perceber, olha na bola do olho  você vê o efeito da rima na expressão facial  ",felicidade
"Stefanie rimo aqui, pra dizer o porquê  interessados? quem quiser, agora vai saber  inspiração é tudo que afeta ou me completa  cada um tem sua missão e Deus já deu minha meta  ",felicidade
"capacidade pra alguma coisa todo mundo tem  de tudo que já fiz, isso me fez sentir bem  rimar na batida da rua é muito mais além  pois luta contra o mal e já salvou muita mente também  ",felicidade
"Mostrar mais meu sorriso amarelo (tin)  Mamãe você é uma rainha e eu tô providenciando o castelo  Na de compor, na de me recompor pela historia  Não é trampo, tô só temperando as vitória  ",felicidade
"1998, ô tempo bom...  Eu trabalhava no Correio, você revendia AVON  com o livro da facul da bolsa  e no olhar a pureza das menina moça  ",felicidade
"Ouça essa aqui pra reviver  algumas contas pra se pagar, um sonho pra se viver  uma vida pra se levar, o império pra se erguer  história pra eternizar, devagar VAMO AÊ...",felicidade
"12 de maio,  Em marrom,  Um coração azul e branco,  Em papel crepom,  Seu mundo era bom,",felicidade
Zé Trindade chegou  Na cidade voltou  Senhoras e senhores com vocês  O grande Zé outra vez.,felicidade
"83 Era legal  Sétima série eu tinha 13, pá e tal  Tudo era novo e o tempo brutal  O auge era o natal  Beijava a boca das mina  Nas favelas de cima  Tinha um som e um clima bom",felicidade
"9H e pouco da matina, brilha as retina  Até mais que o sol cortando as persiana fina  Feliz miguel repete: vai cuidar das minhas menina  Um momento doce, como se fosse cajuína  ",felicidade
"Melhor de teresina, nas esquina ele, meu  Gritando um por um: aê, meu moleque nasceu!  Seu amor renasceu, feliz malandro  A jacira escolheu: vai se chamar leandro",felicidade
Ô balancê balancê  Quero dançar com você  Entra na roda morena pra ver  Ô balancê balancê  ,felicidade
Eu levo a vida pensando  Pensando só em você  E o tempo passa e eu vou me acabando  No balancê balancê,felicidade
Você foi minha cartilha  Você foi meu abc  E por isso eu sou a maior maravilha  No balancê balancê,felicidade
A a beleza intensa  Em plena Ipanema  Holofotes crivam as de luz  Talvez não seja assim  Em outro lugar  Uma ilha flutuando em pleno ar  E eu quero você,felicidade
"A água da fonte bebida na palma da mão  Rosa se abrindo, se despetalando no chão  Quem não viu e nem provou  Não viveu, nunca amou  Se a vida é curta e o mundo é pequeno  Vou vivendo morrendo de amor  Ah, gostoso veneno",felicidade
"Alguém que é Senhor, soberano e conduz  O amor e a vida, o sol e a luz  A fonte suprema que venceu a cruz O Filho de Deus  ",felicidade
"A andorinha voou, voou  Fez um ninho na minha mão  E um buraco bem no meu coração  E lá vou eu como um passarinho  Como um bicho que sai do ninho  Sem vacilo nem dor na minha vez.",felicidade
"A atmosfera  zera e geografia: eu ouço na Bahia sons  de Georgia on my mind,  Miles na baixada,  Bailes e a subida  do Pão de Açúcar  duca a loura num hi-fi.",felicidade
A aurora de Nova Iorque tem  Quatro colunas de lodo  E um furacão de pombas  Que explode as águas podres.,felicidade
A avó continuou  Quis um dia ao teu avô  Como ele me quis a mim  E quem nunca amou assim  Decerto que nunca amou!,felicidade
A bandeira no estádio é um estandarte  A flâmula pendurada na parede do quarto  O distintivo na camisa do uniforme  Que coisa linda é uma partida de futebol,felicidade
"Pá dentro da cabeça dos cara que curte o mano  Ver direito, se liga no efeito que surge  Por isso mano que eu represento e sigo na cena  Satisfação, Paz, Emicida na vila madalena  ",felicidade
A bela e a fera  A falsa e a sincera  A clara e a escura  A fé e a loucura  Nesta cidade todos vivem em paz  Nesta cidade somos todos iguais,felicidade
"A bola vai entrando no fundo da rede  O juiz apita, Goool  A torcida levanta, solta foguete  E pede mais um",felicidade
"A bola vai rolar!  Entre a camisa e o coração  Grito lá do fundo então:  É campeão, é campeão",felicidade
"A cabeça ficou louca  Só com aquele beijinho no canto da boca  Louca, louca, louca, louca  Só com beijin', um beijin'  ",felicidade
"Minha cabeça ficou louca  Só com aquele beijinho no canto da boca  Louca, louca, louca, louca  Só com beijin', um beijin'",felicidade
"Rimos os dois,  Como quem ri da tristeza,  Em cada abrao  Uma loucura de Anjo,  Como se fosse sagrada,  Uma loucura de Anjo.",felicidade
A cada pirueta que você dá  um tom de violeta  inunda o seu bailar  fico encantado ao vê-la voar  ,felicidade
em seu grand-jeté  como eu queria ser o seu par  queria o meu destino  junto ao seu dom  ,felicidade
no lugar de uma deusa  sou um barco navegando  alto-mar por você  a me desbravar sem medo  ,felicidade
"O que chorou seu coração  Vem, a noite é linda, vem cantar  Vem, toda a tristeza vai passar  Só assim tu serás  ",felicidade
"Amor sem fim, amor demais  Vem, vem, vem a noite é tão linda  Vem cantar vem toda tristeza vai passar  Só assim tu serás  Amor sem fim, amor demais",felicidade
"A cancha, pequena e ensolarada  É o palco do Show da mulecada  Dribles, gols, arremessos e saques  É no esporte que surgem os destaques",felicidade
A carapuça serviu  A batina caiu  Bloco carnavalesco  Pitoresco Brasil,felicidade
A casa lá na fazenda   A lua clareando a porta   Deixando um brilho claro   Nas pedras dos degraus   ,felicidade
A casinha de nós dois é pequenina  Mesmo em frente da capela  A dois passos uma fonte cristalina  Onde eu vou beber mais ela,felicidade
"A cerveja dele é sagrada, a vontade dele é a mais justa  A minha paixão é piada, sua risada me assusta  Sua boca é um cadeado e meu corpo é uma fogueira",felicidade
"A cesta básica é tão barata  E o salário é constitucional, que legal!  Não há desmandos, nem apologias  E o imposto é tão racional  ",felicidade
"Tudo é tão justo, tão democrático  Tanto respeito chega a emocionar  Há igualdade nas oportunidades  Nosso futuro é só comemorar!!!",felicidade
A chuteira veste o pé descalço  O tapete da realeza é verde  Olhando para bola eu vejo o sol  Está rolando agora é uma partida de futebol,felicidade
"Muda o destino, enfeita a minha alma  Modifica a caminhada, enquanto limpa a estrada  É o futuro que mostra a sua cara pro parcero  Irmão, a liberdade é de quem chegar primeiro  ",felicidade
A cidade é tão bonita  Quando vamos de visita  À saída da portagem  E mais tarde pela linha  Bebe-se a brisa marinha  E aprecia-se a paisagem,felicidade
"A cidade ideal dum cachorro  Tem um poste por metro quadrado  Não tem carro, não corro, não morro  E também nunca fico apertado",felicidade
"A cidade para o baile que é você  Minha amada, minha estrada, meu viver  A saudade vem dos mares",felicidade
"A cidade parou  Hoje o chão vai tremer  Hoje tem Gusttavo Lima, bebê",felicidade
A coisa mais linda que existe  É ter você perto de mim  A coisa mais linda que existe  É ter você perto de mim,felicidade
"A Conceição da Praia está embandeirada  De tudo quanto é canto muita gente vem  De toda parte vem um baticum de samba  Batuque, capoeira e também candomblé  O sol está queimando mas ninguém dá fé",felicidade
"A cor do seu sangue é vermelho  Vermelho é a cor do amor  Amor são palavras citadas  Que um dia, tal poeta citou",felicidade
"Depois da chuva passada céu azul se apresentou  Lá à beira da estrada, vem vindo o meu amor  A correnteza do rio  ",felicidade
A correnteza do rio vai levando aquela flor   E eu adormeci sorrindo   Sonhando com nosso amor   Sonhando com nosso amor   Sonhando... ,felicidade
Não vejo mais o cais  Só Deus e eu agora  A minha vida é do Mestre  Meu coração é do meu Mestre  O meu caminho é do Mestre  Minha esperança é meu Mestre,felicidade
A deusa da minha rua  Tem os olhos onde a lua  Costuma se embriagar  Nos seus olhos eu suponho  Que o sol num dourado sonho  Vai claridade buscar,felicidade
"A Ele a Glória a Ele a Glória  A Ele a Glória pra sempre, amém  A Ele a Glória a Ele a Glória  A Ele a Glória pra sempre, amém",felicidade
"a encarnação, Deus, só será   não estar aqui nem lá?  e tão somente andar ao léu   no céu da vibração?",felicidade
A espreitar lá do vapor  Vi a cara dum francês  E sejá lá como for  Eu vou ao mar outra vez,felicidade
"Voa da estrada  E desafia a queda, desfia a queda  Voa da estrada  Pra não mais pousar",felicidade
"A farinha é feita de uma planta da família das  euforbiáceas, euforbiáceas  de nome manihot utilissima que um tio meu apelidou de macaxeira  e foi aí que todo mundo achou melhor!...  ",felicidade
"a farinha tá no sangue do nordestino  eu já sei desde menino o que ela pode dar  e tem da grossa, tem da fina se não tem da quebradinha  vou na vizinha pegar pra fazer pirão ou mingau  ",felicidade
"farinha com feijão é animal!  o cabra que não tem eira nem beira  lá no fundo do quintal tem um pé de macaxeira  a macaxeira é popular é macaxeira pr`ali, macaxeira pra cá  ",felicidade
"A fé do povo é o que há de seu  Sem ela tudo vai ser pior  Nem roça, nem gado  Existem sem Deus",felicidade
A fé tá na manhã  A fé tá no anoitecer  No calor do verão  A fé tá viva e sã  A fé também tá pra morrer  Triste na solidão,felicidade
A felicidade é como a gota  De orvalho numa pétala de flor  Brilha tranquila  Depois de leve oscila  E cai como uma lágrima de amor,felicidade
A felicidade é como a gota  De orvalho numa pétala de flor  Brilha tranqüila  Depois de leve oscila  E cai como uma lágrima de amor,felicidade
"A felicidade é como a pluma  Que o vento vai levando pelo ar  Brilha tão leve, mas tem a vida breve  Precisa que haja vento sem parar",felicidade
A felicidade é como a pluma  Que o vento vai levando pelo ar  Voa tão leve  Mas tem a vida breve  Precisa que haja vento sem parar,felicidade
A felicidade é uma coisa boa  E tão delicada também  Tem flores e amores  De todas as cores  ,felicidade
Tem ninhos de passarinhos  Tudo de bom ela tem  E é por ela ser assim tão delicada  Que eu trato dela sempre muito bem,felicidade
"A felicidade não manda avisar  Quando vai chegar a ninguém, a ninguém  Pode vir de noite ou de dia  É sempre um motivo de alegria",felicidade
"A festa é boa, é hoje e nós vamos pipocar,  Tem o Gusttavo Lima e o bicho vai pegar.  Eu já liguei pras gatas,  As mais lindas, sem noção,  Camarote lotado só tocando os pancadão.",felicidade
"A força vem dessa pedra que canta itapuã  Fala tupi, fala iorubá  É lindo vê-lo bailando ele é tão pierrô, pierrô,  Ali no meio da rua, lá",felicidade
A forma do cactos da  Que nem se avalia  Samba cai cai  Banho romeiro  Que é noite de romaria  Religiosamente  Se roga se reza canta-se,felicidade
A fragata que se ergue na proa  A varina que teima em passar  Cheiram bem porque são de lisboa  Lisboa tem cheiro de flores e de mar,felicidade
"A fragata que se ergue na proa,  A varina que teima em passar,  Cheira bem porque são de Lisboa,  Lisboa tem cheiro de flores e de mar.",felicidade
"A fragata que se ergue na proa,  A varina que teima em passar,  Cheiram bem porque são de Lisboa,  Lisboa tem cheiro de flores e de mar.",felicidade
A gafieira já fez subscrição  Pra passar cera e dar uma caiação  A turma tá que tá que não sai de lá  Tereza um dia pode querer voltar  Porque Tereza enturmou  Porque Tereza enturmou,felicidade
"A garça vôou  A sombra ficou  A noite desceu  Levando o brancor  Ah, Ah, Ah...",felicidade
A gente acabou de fazer amor  Eu resolvi pensar na gente como eu nunca pensei  Juro que nunca pensei  Que o sentimento é mais  Que esse prazer que você me dá  Não posso te enganar ,felicidade
A gente esquece um samba  E faz um outro samba  A gente perde um grande amor  E acha um outro amor  ,felicidade
Você morreu no meu peito  E no meu peito nasceu  Não um outro amor  Mas essa indiferença sem saudade  Sem tristeza e sem rancor,felicidade
"A gente faz amor por telepatia  No chão, no mar, na lua, na melodia  Mania de você  de tanto a gente se beijar  de tanto imaginar loucuras",felicidade
"A gente faz amor por telepatia  No chão, no mar, na lua, na melodia  Mania de você  De tanto a gente se beijar  De tanto imaginar loucuras",felicidade
"A gente já não faz amor como manda a paixão  Se nenhum dos dois mais liga  O amor com tanta briga vai fugir do coração  A gente já não faz amor com desejos no olhar  Hoje eu vou pra casa cedo  Pra matar o nosso medo, hoje eu quero te amar",felicidade
"A gente nasce, a gente cresce  A gente quer amar  Mulher que nega  Nega o que não é para negar  ",felicidade
A gente pode conversar  Sobre o que há de mais sagrado  Ao mesmo tempo  Cometer os maiores pecados  ,felicidade
A gente pode falar de liberdade  Sem sair da prisão  Pode falar sobre o céu  Sem tirar os pés do chão.,felicidade
"A gente pula, a gente zoa no rodeio  Faz a terra toda tremer  Então vem dançar, vem dançar no pancadão  Bate na palma da mão  ",felicidade
"Que eu vou fazer você mexer  Se mexer com ele aí, você mexeu comigo  Menina eu sou perigo  Tenho dom de apaixonado",felicidade
"A gente quer um lugar pra gente  A gente quer é de papel passado  Com festa, bolo e brigadeiro  A gente quer um canto sossegado  A gente quer um canto de sossego",felicidade
"A gente se embala se embola se embola  Só para na porta da igreja  A gente se olha se beija e se molha  De chuva, suor e cerveja",felicidade
A gente vai em digressão  Pra tocar em qualquer lado  Recinto aberto ou fechado  No salão dos voluntários ,felicidade
A gente vira bicho  Quer mais e mais até não dar mais  Desmaio nos seus braços  Me aqueço em seu mormaço  Perfumado de suor  Conheço essa história de cor ,felicidade
A glória do Senhor já Brilha!  A Glória do Senhor já vem!  A glória do Senhor já brilha sobre ti!!!,felicidade
"A glória que vem, a glória que vai  A glória que desce direto do Pai  A glória que vem, a glória que vai  Que se manifestou na cruz  Foi a glória do Pai",felicidade
"A harmonia será terra  A dissonância será bela  E lá no fim daquele azul  Os meus acordes vão terminar  Não haverá,outro som pelo ar...",felicidade
"A honra é toda minha, é satisfação  Chegar nesse momento aqui de coração  E fazer um som com meus parceiro  Na cidade maravilhosa que é logo no Rio de Janeiro  ",felicidade
Pega o microfone e checa  Com a satisfação Sambabook do Zeca  Sabe qual que é então na rima quem manja  Manda aí pra nóis o bagaço da laranja,felicidade
"A informação é a luz, é o abrigo  Tão vital como a água, o batimento cardíaco  É o ar no pulmão, é o sol depois da chuva  É a espada contra o dragão  Seu castelo, sua armadura",felicidade
"A informação é a luz, é o abrigo  Tão vital como a água, o batimento cardíaco  É o ar no pulmão, é o sol depois da chuva  É a espada contra o dragão  Seu castelo, sua armadura.",felicidade
"A Júlia florista  Boémia e fadista, diz a tradição  Foi nesta Lisboa  Figura de proa da nossa canção  ",felicidade
Figura bizarra  Que ao som da guitarra o fado viveu  Vendia flores  Mas os seus amores jamais os vendeu,felicidade
A liberdade já chegou em Angola  E vai chegar no Brasil  Mistura a culpa do teu fado  Com a alegria que veio da África  ,felicidade
"A linguagem do amor, do carinho   Na palma da minha mão",felicidade
"A lua girou, girou  Traçou no céu um compasso  A lua girou, girou  Traçou no céu um compasso",felicidade
"A lua girou, girou  Traçou no céu um compasso  Eu também quero fazer  Um travesseiro dos teus braços  ",felicidade
A lua já desceu sobre esta paz  E reina sobre todo este luzeiro  Á volta toda a vida se compraz  Enquanto um sargo assa no brazeiro,felicidade
